District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production,Source_File,Season,Year
KANDY,3921.0,4073.0,3636.0,11629.0,4073.0,3917.0,3626.0,11617.0,4722.0,3125.0,3799.0,3895.0,9186.0,35782.0,2008  Yala.csv,Yala,2008
MATALE,5122.0,5402.0,1436.0,11960.0,5374.0,5077.0,1424.0,11874.0,4346.0,3513.0,2629.0,3784.0,10679.0,40409.0,2008  Yala.csv,Yala,2008
NUWARAELIYA,1595.0,454.0,38.0,2087.0,445.0,1563.0,37.0,2045.0,3875.0,3636.0,3636.0,3688.0,1152.0,4250.0,2008  Yala.csv,Yala,2008
BADULLA,4431.0,8195.0,121.0,12746.0,8195.0,4428.0,121.0,12744.0,4901.0,4070.0,4070.0,4605.0,10832.0,49877.0,2008  Yala.csv,Yala,2008
MONARAGALA,5772.0,6298.0,1647.0,13716.0,6298.0,5766.0,1548.0,13612.0,4401.0,4161.0,4161.0,4272.0,13339.0,56987.0,2008  Yala.csv,Yala,2008
JAFFNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008  Yala.csv,Yala,2008
KILLINOCHCHI,40.0,4373.0,0.0,4413.0,3642.0,38.0,0.0,3681.0,3094.0,2320.0,0.0,3086.0,3266.0,10078.0,2008  Yala.csv,Yala,2008
VAVUNIYA,3136.0,1829.0,4.0,4969.0,1646.0,2822.0,4.0,4472.0,4389.0,4391.0,4391.0,4390.0,4219.0,18523.0,2008  Yala.csv,Yala,2008
MULATIVU,543.0,2600.0,0.0,3143.0,2189.0,445.0,0.0,2634.0,3094.0,2320.0,0.0,2963.0,2485.0,7362.0,2008  Yala.csv,Yala,2008
MANNAR,64.0,920.0,0.0,984.0,828.0,58.0,0.0,886.0,4288.0,4288.0,0.0,4288.0,846.0,3626.0,2008  Yala.csv,Yala,2008
ANURADHAPURA,23203.0,25823.0,107.0,49133.0,25581.0,22547.0,106.0,48235.0,4610.0,4154.0,4154.0,4396.0,38786.0,170500.0,2008  Yala.csv,Yala,2008
POLONNARUWA,2528.0,51953.0,0.0,54481.0,51942.0,2518.0,0.0,54460.0,5000.0,4380.0,0.0,4971.0,48176.0,239485.0,2008  Yala.csv,Yala,2008
TRINCOMALEE,2022.0,13274.0,0.0,15296.0,13232.0,1912.0,0.0,15145.0,4606.0,3797.0,0.0,4504.0,14069.0,63370.0,2008  Yala.csv,Yala,2008
BATTICALOA,1112.0,16434.0,182.0,17728.0,16409.0,1111.0,182.0,17702.0,3954.0,3805.0,3805.0,3943.0,15624.0,61609.0,2008  Yala.csv,Yala,2008
AMPARA,1686.0,58341.0,140.0,60168.0,58321.0,1662.0,140.0,60124.0,4948.0,4242.0,4225.0,4927.0,57461.0,283081.0,2008  Yala.csv,Yala,2008
HAMBANTOTA,3996.0,19110.0,1395.0,24500.0,19105.0,3960.0,1386.0,24451.0,5015.0,3925.0,3025.0,4725.0,21363.0,100947.0,2008  Yala.csv,Yala,2008
UDA_WALAWE,0.0,10718.0,0.0,10718.0,10503.0,0.0,0.0,10503.0,6198.0,0.0,0.0,6198.0,10293.0,63793.0,2008  Yala.csv,Yala,2008
MAHAWELI_H,0.0,17758.0,0.0,17758.0,17758.0,0.0,0.0,17758.0,5403.0,0.0,0.0,5403.0,15926.0,86055.0,2008  Yala.csv,Yala,2008
COLOMBO,117.0,971.0,3418.0,4506.0,117.0,970.0,3418.0,4504.0,3568.0,3501.0,3568.0,3554.0,3829.0,13605.0,2008-2009  Maha.csv,Maha,2008-2009
GAMPAHA,1565.0,2238.0,7023.0,10826.0,1556.0,2208.0,6914.0,10678.0,3415.0,3389.0,3327.0,3353.0,9076.0,30430.0,2008-2009  Maha.csv,Maha,2008-2009
KALUTARA,128.0,2130.0,12426.0,14684.0,128.0,2112.0,12396.0,14637.0,2524.0,3071.0,3128.0,3115.0,13502.0,42055.0,2008-2009  Maha.csv,Maha,2008-2009
GALLE,0.0,124.0,15806.0,15930.0,0.0,122.0,15527.0,15649.0,0.0,3255.0,3031.0,3032.0,12247.0,37139.0,2008-2009  Maha.csv,Maha,2008-2009
